Date,Price
2004:04:07,6669.95
2004:04:08,6658.50
2004:04:09,6658.50
2004:04:12,6698.08
2004:04:13,6610.25
2004:04:14,6608.22
2004:04:15,6637.05
2004:04:16,6676.13
2004:04:19,6670.18
2004:04:20,6574.50
2004:04:21,6607.75
2004:04:22,6679.21
2004:04:23,6661.21
2004:04:26,6646.34
2004:04:27,6664.48
2004:04:28,6581.39
2004:04:29,6550.46
2004:04:30,6533.33
2004:05:03,6595.62
2004:05:04,6606.52
2004:05:05,6615.26
2004:05:06,6576.41
2004:05:07,6484.48
2004:05:10,6410.47
2004:05:11,6444.48
2004:05:12,6468.41
2004:05:13,6455.97
2004:05:14,6461.03
2004:05:17,6400.68
2004:05:18,6435.15
2004:05:19,6418.72
2004:05:20,6423.00
2004:05:21,6439.93
2004:05:24,6435.47
2004:05:25,6531.11
2004:05:26,6538.28
2004:05:27,6581.42
2004:05:28,6568.84
2004:05:31,NA
2004:06:01,6578.28
2004:06:02,6612.17
2004:06:03,6570.87
2004:06:04,6598.04
2004:06:07,6686.61
2004:06:08,6695.18
2004:06:09,6640.94
2004:06:10,6664.79
2004:06:11,6664.79
2004:06:14,6611.17
2004:06:15,6634.94
2004:06:16,6648.50
2004:06:17,6646.51
2004:06:18,6663.71
2004:06:21,6634.97
